channel_title,video_count,relevance
Centsible Living With Money Mom,3885,1
BiggerPockets,3259,1
Financial Education,2781,1
Minority Mindset,2426,1
Ben Hedges,1729,1
Rachel Cruze,1712,1
Living On A Dime To Grow Rich,1503,1
Money Talks News,1432,1
BeatTheBush,1323,1
Wolf of Dubai Day Trading & Investing,1245,0
Marginal Revolution University,1236,1
Kelly Anne Smith,1050,1
The College Investor,1014,0
debtisdum,991,1
The Organized Money,990,1
REtipster,927,1
David Pere,923,1
Erin Talks Money | Erin Moriarity,887,1
Budget Girl,824,1
Travis Sickle,821,1
Ryan Scribner,782,1
Well Behaved Wallet,744,1
His And Her Money,723,1
Wealth Hacker - Jeff Rose,717,1
Andrei Jikh,659,1
Debt Free Millennials,657,1
Pennies Not Perfection,624,1
YNAB,589,1
Mr. Money Geek,575,1
NerdWallet,572,1
The Wealth Elevator: Podcasts,565,1
PensionCraft,538,0
Investing Simplified - Professor G,523,1
Michael Kitces,519,1
The Humble Penny,517,1
Coach Carson,503,1
Jack Chapple,486,1
Holy Schmidt!,485,0
Patrick Boyle,468,1
One Unified Home,462,1
Rob Berger,457,1
The Rational Reminder Podcast,456,1
AskSebby,439,1
Humphrey Yang,439,1
Naam Wynn,439,1
Rachael Lyn,429,1
Multifamily Done For You | Juan Pablo,407,1
Marko - WhiteBoard Finance,387,1
SavingsAngel,386,1
Debt Free Dana ツ,381,1
Freedom Mentor,380,1
Brian Jung,367,1
LaTisha Styles,359,1
GoWithLess,352,0
Jack Corsellis,327,1
Money For the Rest of Us,322,1
The Write and Publish Lab,313,1
Ashley Hodgson,306,1
Let's Talk Money Channel,293,1
Mike and Lauren,292,1
rich & REGULAR,288,1
JJ Buckner,280,1
"Devin Carroll, CFP®",277,0
Fioney,277,1
Jeff Leighton,276,1
The Plain Bagel,267,1
Couple Money,250,1
Garys Economics,232,1
"Jordan Page, FunCheapOrFree",223,1
Life With Sarah,221,1
MissBeHelpful,219,1
The Bemused: Making Sense of Money 💰,203,1
It's Kristin Lee,201,1
Nate O'Brien,201,1
Debt Free Dee,198,1
ClearValue Tax,190,1
AJ Mobile Money,182,1
Two Cents,181,1
Ben Felix,168,1
Trusted Stack,167,1
Jessica Moorhouse - Canadian Personal Finance,156,1
Whitney Hansen,155,1
The Budget Bounce,150,1
Mike Rosehart,145,1
"Dave Hanson / Hey there, Dave here.",138,1
Money & Macro,135,1
Mandy Roams,133,1
Tom Crosshill,111,1
The Millennial's Guide to Money,108,1
Lydia Senn,105,1
Mark Tilbury,105,1
KEEPING IT REAL WITH CREDIT,103,1
Brad Finn,100,1
VSK Financial Consultancy Services Pvt. Ltd. ,94,1
Genalofton,91,1
Lauren Cobello,75,1
Dumb Money,74,0
Making Smart Financial Decisions,49,1
Cuponeando PR by Edith Tapia,44,1
Lock Stock Finance,44,1
Perfection Hangover,29,1
Listen Money Matters,26,1
Dollar Dude,19,1
Personal Finance with Professor X,18,1
Sharran Srivatsaa,18,1
FREE TO FAMILY,10,1
Mixed Up Money,9,1
Cherry Tung,6,1
